PUBID|Building identifier
ZBLRDUCT|Imputed boiler system: Duct reheat
ZDHRAD|Imputed district heat system: Radiators
ZDHFNCL|Imputed district heat system: Fan coil units in rooms
ZDHINDC|Imputed district heat system: Induction units
ZDHLOOP|Imputed district heat system: Water loop heat pump
ZDHAIR|Imputed district heat system: Central air handler
ZDHPKG|Imputed district heat system: Packaged unit
ZDHDUCT|Imputed district heat system: Duct reheat
ZHPHPKG|Imputed heat pump heating system: Packaged unit
ZHPHSPLT|Imputed heat pump heating system: Split system
ZHPHROOM|Imputed heat pump heating system: Individual room heat pump
ZHPHMINI|Imputed heat pump heating system: Ductless mini-split
ZHPHVRF|Imputed heat pump heating system: Variable refrigerant flow
ZHPHAIR|Imputed heat pump heating type: Air source
ZHPHGRD|Imputed heat pump heating type: Ground source
ZHPHDUAL|Imputed heat pump heating type: Dual source
ZHPHWTR|Imputed heat pump heating type: Water loop
ZHPHBKUP|Imputed heat pump backup energy source
ZSHRDNT|Imputed individual heater: Infrared radiant
ZSHBBRD|Imputed individual heater: Baseboard
ZSHPORT|Imputed individual heater: Portable space heater
ZSHWALL|Imputed individual heater: Wall heater
ZSHFURN|Imputed individual heater: Individual furnace
ZSHUNIT|Imputed individual heater: Unit heater
ZSHPTAC|Imputed individual heater: Heating element in PTAC
ZHTVCAV|Imputed heating ventilation: Central air handling with CAV
ZHTVVAV|Imputed heating ventilation: Central air handling with VAV
ZHTVFLR|Imputed heating ventilation: Underfloor air distribution
ZHTVOAS|Imputed heating ventilation: Dedicated outside air system
ZHTVDEM|Imputed heating ventilation: Demand controlled ventilation
ZHTVNON|Imputed heating ventilation: None of these
ZELCOOL|Imputed electricity used for cooling
ZNGCOOL|Imputed natural gas used for cooling
ZFKCOOL|Imputed fuel oil used for cooling
ZPRCOOL|Imputed propane used for cooling
ZSTCOOL|Imputed district steam  used for cooling
ZHWCOOL|Imputed district hot water used for cooling
ZCWCOOL|Imputed district chilled water used for cooling
ZOTCOOL|Imputed other source used for cooling
ZCOOLP|Imputed percent cooled
ZRCAC|Imputed residential type central A/C
ZPKGCL|Imputed packaged A/C units
ZCHILLR|Imputed central chillers inside the building
ZCHWT|Imputed district chilled water piped in
ZHTPMPC|Imputed heat pumps for cooling
ZACWNWL|Imputed individual room air conditioners
ZEVAPCL|Imputed evaporative or swamp coolers
ZOTCLEQ|Imputed other cooling equipment
ZRCACP|Imputed percent cooled by central A/C
ZPKGCP|Imputed percent cooled by packaged A/C units
ZCHILP|Imputed percent cooled by central chillers
ZCHWTP|Imputed percent cooled by district chilled water
ZHTPCP|Imputed percent cooled by heat pumps
ZACWNWP|Imputed percent cooled by individual room A/C
ZEVAPP|Imputed percent cooled by swamp coolers
ZOTCLP|Imputed percent cooled by other cooling equipment
ZMAINCL|Imputed main cooling equipment
ZNWMNCL|Imputed main cooling replaced
ZPKGCLTYP|Imputed type of packaged cooling
ZCHLAIRCL|Imputed chiller type: Air-cooled
ZCHLWTRCL|Imputed chiller type: Water cooled
ZCHLABSRP|Imputed chiller type: Absorption
ZHTRCHLR|Imputed heater chiller
ZCHLAIR|Imputed chiller system: Central air handler
ZCHLFNCL|Imputed chiller system: Fan coil units in rooms
ZCHLINDC|Imputed chiller system: Induction units
ZCHLLOOP|Imputed chiller system: Water loop heat pump
ZCHLBEAM|Imputed chiller system: Chilled beam
ZCHLPKG|Imputed chiller system: Packaged unit
ZCHLDUCT|Imputed chiller system: Duct reheat
ZDCWAIR|Imputed district CW system: Central air handler
ZDCWFNCL|Imputed district CW system: Fan coil units in rooms
ZDCWINDC|Imputed district CW system: Induction units
ZDCWLOOP|Imputed district CW system: Water loop heat pump
ZDCWBEAM|Imputed district CW system: Chilled beam
ZDCWPKG|Imputed district CW system: Packaged unit
ZDCWDUCT|Imputed district CW system: Duct reheat
ZHPCPKG|Imputed heat pump cooling system: Packaged unit
ZHPCSPLT|Imputed heat pump cooling system: Split system
ZHPCROOM|Imputed heat pump cooling system: Individual room heat pump
ZHPCMINI|Imputed heat pump cooling system: Ductless mini-split
ZHPCVRF|Imputed heat pump cooling system: Variable refrigerant flow
ZHPCAIR|Imputed heat pump cooling type: Air source
ZHPCGRD|Imputed heat pump cooling type: Ground source
ZHPCDUAL|Imputed heat pump cooling type: Dual source
ZHPCWTR|Imputed heat pump cooling type: Water loop
ZCLVCAV|Imputed cooling ventilation: Central air-handling unit with CAV
ZCLVVAV|Imputed cooling ventilation: Central air-handling unit with VAV
ZCLVFLR|Imputed cooling ventilation: Underfloor air distribution
ZCLVOAS|Imputed cooling ventilation: Dedicated outside air system
ZCLVDEM|Imputed cooling ventilation: Demand controlled ventilation
ZCLVNON|Imputed cooling ventilation: None of these types
ZEMCS|Imputed building automation system (BAS)
ZRDHTNF|Imputed heating reduced during 24 hour period
ZHWRDHT|Imputed how reduce heating
ZRDCLNF|Imputed cooling reduced during 24 hour period
ZHWRDCL|Imputed how reduce cooling
ZECN|Imputed economizer cycle
ZECNTYPE|Imputed type of economizer
ZMAINT|Imputed regular HVAC maintenance
ZELWATR|Imputed electricity used for water heating
ZNGWATR|Imputed natural gas used for water heating
ZFKWATR|Imputed fuel oil used for water heating
ZPRWATR|Imputed propane used for water heating
ZSTWATR|Imputed district steam used for water heating
ZHWWATR|Imputed district hot water used for water heating
ZWOWATR|Imputed wood used for water heating
ZCOWATR|Imputed coal used for water heating
ZSOWATR|Imputed solar used for water heating
ZOTWATR|Imputed other source used for water heating
ZWTHTEQ|Imputed water heating equipment
ZBOOSTWT|Imputed booster water heaters
ZINSTWT|Imputed instant hot water
ZELCOOK|Imputed electricity used for cooking
ZNGCOOK|Imputed natural gas used for cooking
ZFKCOOK|Imputed fuel oil used for cooking
ZPRCOOK|Imputed propane used for cooking
ZSTCOOK|Imputed district steam used for cooking
ZHWCOOK|Imputed district hot water used for cooking
ZWOCOOK|Imputed wood used for cooking
ZCOCOOK|Imputed coal used for cooking
ZSOCOOK|Imputed solar used for cooking
ZOTCOOK|Imputed other source used for cooking
ZELMANU|Imputed electricity used for manufacturing
ZNGMANU|Imputed natural gas used for manufacturing
ZFKMANU|Imputed fuel oil used for manufacturing
ZPRMANU|Imputed propane used for manufacturing
ZSTMANU|Imputed district steam used for manufacturing
ZHWMANU|Imputed district hot water used for manufacturing
ZWOMANU|Imputed wood used for manufacturing
ZCOMANU|Imputed coal used for manufacturing
ZSOMANU|Imputed solar used for manufacturing
ZOTMANU|Imputed other source used for manufacturing
ZNGGENR|Imputed natural gas used for electricity generation
ZFKGENR|Imputed fuel oil used for electricity generation
ZPRGENR|Imputed propane used for electricity generation
ZWOGENR|Imputed wood used for electricity generation
ZCOGENR|Imputed coal used for electricity generation
ZSOGENR|Imputed solar used for electricity generation
ZOTGENR|Imputed other source used for electricity generation
ZPVC|Imputed photovoltaic cells
ZFUELCL|Imputed fuel cells
ZLRGTRB|Imputed large turbines
ZMCROTB|Imputed microturbines
ZENGINE|Imputed reciprocating engines
ZGENUSE|Imputed use of generated electricity
ZCOGEN|Imputed cogeneration system
ZTOGRID|Imputed deliver electricity to grid
ZPRAMTC|Imputed bottled gas amount
ZWOAMT|Imputed amount wood burned
ZWOSRC|Imputed how obtain wood
ZWOEXP|Imputed expenditures for wood
ZWOEXPC|Imputed wood expenditures category
ZENRGYPLN|Imputed energy management plan
ZSNACK|Imputed snack bar or concession stand
ZFASTFD|Imputed fast food or small restaurant
ZCAF|Imputed cafeteria or large restaurant
ZFDPREP|Imputed commercial or large kitchen
ZKITCHN|Imputed small kitchen area
ZBREAKRM|Imputed employee lounge, breakroom, or pantry
ZOTFDRM|Imputed other food prep or serving area
ZHWTRM|Imputed large amounts of hot water
ZLAUNDR|Imputed laundry onsite
ZCONFSP|Imputed conference or event space
ZCONFSPP|Imputed percent conference or event space
ZMEDEQP|Imputed medical equipment
ZXRAYN|Imputed number of X-ray machines
ZCTSCAN|Imputed CT scan machines
ZMRI|Imputed MRI machines
ZLINACC|Imputed linear accelerators
ZOUTSURG|Imputed operating rooms for outpatient surgery
ZLABEQP|Imputed laboratory equipment
ZMCHEQP|Imputed machine equipment
ZPOOL|Imputed indoor swimming pool
ZHTPOOL|Imputed heated indoor swimming pool
ZPOOLSRC|Imputed pool energy source
ZSTRLZR|Imputed sterilizers or autoclaves
ZRFGEQP|Imputed refrigeration
ZRFGRES|Imputed full-size residential-type refrigerator
ZRFGCOMP|Imputed half-size or compact refrigerators
ZRFGWI|Imputed walk-in refrigeration units
ZRFGOP|Imputed open case refrigeration units
ZRFGCL|Imputed closed case refrigeration units
ZRFGVEN|Imputed refrigerated vending machines
ZRFGICE|Imputed commercial ice makers
ZRFGSTO|Imputed large cold storage areas
ZRFGRSN|Imputed number of residential refrigerators
ZRFGCOMPN|Imputed number of compact refrigerators
ZRFGWIN|Imputed number of walk-in units
ZRFGOPN|Imputed number of open case refrigeration units
ZRFGCLN|Imputed number of closed case refrigeration units
ZRFGVNN|Imputed number of refrigerated vending machines
ZRFGICN|Imputed number of ice makers
ZRFGSTP|Imputed percent cold storage
ZWHRECOV|Imputed waste heat recovery
ZWHHT2|Imputed waste heat used for secondary heating
ZWHWT|Imputed waste heat used for water heating
ZWHOT|Imputed waste heat used for some other use
ZPCTERM|Imputed computers used
ZPCTERMN|Imputed number of computers
ZPCTRMC|Imputed number of computers category
ZMLTMON|Imputed multiple monitors
ZMLTMNC|Imputed multiple monitor category
ZFLATC|Imputed flat screen category
ZLAPTPN|Imputed number of laptops
ZLAPTPC|Imputed number of laptops category
ZPRNTRN|Imputed number of printers
ZPRNTYP|Imputed type of printers
ZSERVER|Imputed dedicated servers
ZSERVERN|Imputed number of servers
ZSERVERC|Imputed number of servers category
ZDATACNTR|Imputed data center or server farm
ZDCNTRSFC|Imputed data center or server farm sqft category
ZTRNGRM|Imputed computer-based training room
ZSTDNRM|Imputed student or public computer center
ZWBOARDS|Imputed interactive whiteboards
ZTVVIDEO|Imputed TV or video displays
ZTVVIDEON|Imputed number of TV or video displays
ZRGSTR|Imputed cash registers
ZRGSTRN|Imputed number of cash registers
ZCOPIER|Imputed photocopiers
ZCOPIERN|Imputed number of photocopiers
ZFAX|Imputed FAX machines
ZLTOHRP|Imputed percent lit when open
ZLOHRPC|Imputed lit when open category
ZLTNR24|Imputed lights off during 24 hours
ZLTNHRP|Imputed percent lit off hours
ZLNHRPC|Imputed lit off hours category
ZRDLTNF|Imputed lighting reduced during off hours
ZFLUOR|Imputed fluorescent bulbs
ZCFLR|Imputed compact fluorescent bulbs
ZBULB|Imputed incandescent bulbs
ZHALO|Imputed halogen bulbs
ZHID|Imputed high intensity discharge (HID) bulbs
ZLED|Imputed light-emitting diode (LED) bulbs
ZOTLT|Imputed other type of bulbs
ZFLUORP|Imputed percent lit by fluorescent
ZCFLRP|Imputed percent lit by compact fluorescent
ZBULBP|Imputed percent lit by incandescent
ZHALOP|Imputed percent lit by halogen
ZHIDP|Imputed percent lit by HID
ZLEDP|Imputed percent lit by LED
ZOTLTP|Imputed percent lit by other lighting
ZEMCSLT|Imputed BAS controls lighting
ZSCHED|Imputed light scheduling
ZOCSN|Imputed occupancy sensors
ZDIM|Imputed multi-level lighting or dimming
ZDAYHARV|Imputed daylight harvesting
ZTRIM|Imputed high-end trimming or light-level tuning
ZPLGCTRL|Imputed plug load control
ZDRLGHT|Imputed demand responsive lighting
ZLTEXPC|Imputed percent of exterior lighted
ZPKLT|Imputed lighted parking area
ZWINTYP|Imputed window glass type
ZTINT|Imputed tinted window glass
ZREFL|Imputed reflective window glass
ZAWN|Imputed external overhangs or awnings
ZSKYLT|Imputed skylights or atriums
ZDAYLTP|Imputed percent daylight
FINALWT|Final full sample building weight
FINALWT1|Final replicate weight 1
FINALWT2|Final replicate weight 2
FINALWT3|Final replicate weight 3
FINALWT4|Final replicate weight 4
FINALWT5|Final replicate weight 5
FINALWT6|Final replicate weight 6
FINALWT7|Final replicate weight 7
FINALWT8|Final replicate weight 8
FINALWT9|Final replicate weight 9
FINALWT10|Final replicate weight 10
FINALWT11|Final replicate weight 11
FINALWT12|Final replicate weight 12
FINALWT13|Final replicate weight 13
FINALWT14|Final replicate weight 14
FINALWT15|Final replicate weight 15
FINALWT16|Final replicate weight 16
FINALWT17|Final replicate weight 17
FINALWT18|Final replicate weight 18
FINALWT19|Final replicate weight 19
FINALWT20|Final replicate weight 20
FINALWT21|Final replicate weight 21
FINALWT22|Final replicate weight 22
FINALWT23|Final replicate weight 23
FINALWT24|Final replicate weight 24
FINALWT25|Final replicate weight 25
FINALWT26|Final replicate weight 26
FINALWT27|Final replicate weight 27
FINALWT28|Final replicate weight 28
FINALWT29|Final replicate weight 29
FINALWT30|Final replicate weight 30
FINALWT31|Final replicate weight 31
FINALWT32|Final replicate weight 32
FINALWT33|Final replicate weight 33
FINALWT34|Final replicate weight 34
FINALWT35|Final replicate weight 35
FINALWT36|Final replicate weight 36
FINALWT37|Final replicate weight 37
FINALWT38|Final replicate weight 38
FINALWT39|Final replicate weight 39
FINALWT40|Final replicate weight 40
FINALWT41|Final replicate weight 41
FINALWT42|Final replicate weight 42
FINALWT43|Final replicate weight 43
FINALWT44|Final replicate weight 44
FINALWT45|Final replicate weight 45
FINALWT46|Final replicate weight 46
FINALWT47|Final replicate weight 47
FINALWT48|Final replicate weight 48
FINALWT49|Final replicate weight 49
FINALWT50|Final replicate weight 50
FINALWT51|Final replicate weight 51
FINALWT52|Final replicate weight 52
FINALWT53|Final replicate weight 53
FINALWT54|Final replicate weight 54
FINALWT55|Final replicate weight 55
FINALWT56|Final replicate weight 56
FINALWT57|Final replicate weight 57
FINALWT58|Final replicate weight 58
FINALWT59|Final replicate weight 59
FINALWT60|Final replicate weight 60
FINALWT61|Final replicate weight 61
FINALWT62|Final replicate weight 62
FINALWT63|Final replicate weight 63
FINALWT64|Final replicate weight 64
FINALWT65|Final replicate weight 65
FINALWT66|Final replicate weight 66
FINALWT67|Final replicate weight 67
FINALWT68|Final replicate weight 68
FINALWT69|Final replicate weight 69
FINALWT70|Final replicate weight 70
FINALWT71|Final replicate weight 71
FINALWT72|Final replicate weight 72
FINALWT73|Final replicate weight 73
FINALWT74|Final replicate weight 74
FINALWT75|Final replicate weight 75
FINALWT76|Final replicate weight 76
FINALWT77|Final replicate weight 77
FINALWT78|Final replicate weight 78
FINALWT79|Final replicate weight 79
FINALWT80|Final replicate weight 80
FINALWT81|Final replicate weight 81
FINALWT82|Final replicate weight 82
FINALWT83|Final replicate weight 83
FINALWT84|Final replicate weight 84
FINALWT85|Final replicate weight 85
FINALWT86|Final replicate weight 86
FINALWT87|Final replicate weight 87
FINALWT88|Final replicate weight 88
FINALWT89|Final replicate weight 89
FINALWT90|Final replicate weight 90
FINALWT91|Final replicate weight 91
FINALWT92|Final replicate weight 92
FINALWT93|Final replicate weight 93
FINALWT94|Final replicate weight 94
FINALWT95|Final replicate weight 95
FINALWT96|Final replicate weight 96
FINALWT97|Final replicate weight 97
FINALWT98|Final replicate weight 98
FINALWT99|Final replicate weight 99
FINALWT100|Final replicate weight 100
FINALWT101|Final replicate weight 101
FINALWT102|Final replicate weight 102
FINALWT103|Final replicate weight 103
FINALWT104|Final replicate weight 104
FINALWT105|Final replicate weight 105
FINALWT106|Final replicate weight 106
FINALWT107|Final replicate weight 107
FINALWT108|Final replicate weight 108
FINALWT109|Final replicate weight 109
FINALWT110|Final replicate weight 110
FINALWT111|Final replicate weight 111
FINALWT112|Final replicate weight 112
FINALWT113|Final replicate weight 113
FINALWT114|Final replicate weight 114
FINALWT115|Final replicate weight 115
FINALWT116|Final replicate weight 116
FINALWT117|Final replicate weight 117
FINALWT118|Final replicate weight 118
FINALWT119|Final replicate weight 119
FINALWT120|Final replicate weight 120
FINALWT121|Final replicate weight 121
FINALWT122|Final replicate weight 122
FINALWT123|Final replicate weight 123
FINALWT124|Final replicate weight 124
FINALWT125|Final replicate weight 125
FINALWT126|Final replicate weight 126
FINALWT127|Final replicate weight 127
FINALWT128|Final replicate weight 128
FINALWT129|Final replicate weight 129
FINALWT130|Final replicate weight 130
FINALWT131|Final replicate weight 131
FINALWT132|Final replicate weight 132
FINALWT133|Final replicate weight 133
FINALWT134|Final replicate weight 134
FINALWT135|Final replicate weight 135
FINALWT136|Final replicate weight 136
FINALWT137|Final replicate weight 137
FINALWT138|Final replicate weight 138
FINALWT139|Final replicate weight 139
FINALWT140|Final replicate weight 140
FINALWT141|Final replicate weight 141
FINALWT142|Final replicate weight 142
FINALWT143|Final replicate weight 143
FINALWT144|Final replicate weight 144
FINALWT145|Final replicate weight 145
FINALWT146|Final replicate weight 146
FINALWT147|Final replicate weight 147
FINALWT148|Final replicate weight 148
FINALWT149|Final replicate weight 149
FINALWT150|Final replicate weight 150
FINALWT151|Final replicate weight 151
FINALWT152|Final replicate weight 152
FINALWT153|Final replicate weight 153
FINALWT154|Final replicate weight 154
FINALWT155|Final replicate weight 155
FINALWT156|Final replicate weight 156
FINALWT157|Final replicate weight 157
FINALWT158|Final replicate weight 158
FINALWT159|Final replicate weight 159
FINALWT160|Final replicate weight 160
FINALWT161|Final replicate weight 161
FINALWT162|Final replicate weight 162
FINALWT163|Final replicate weight 163
FINALWT164|Final replicate weight 164
FINALWT165|Final replicate weight 165
FINALWT166|Final replicate weight 166
FINALWT167|Final replicate weight 167
FINALWT168|Final replicate weight 168
FINALWT169|Final replicate weight 169
FINALWT170|Final replicate weight 170
FINALWT171|Final replicate weight 171
FINALWT172|Final replicate weight 172
FINALWT173|Final replicate weight 173
FINALWT174|Final replicate weight 174
FINALWT175|Final replicate weight 175
FINALWT176|Final replicate weight 176
FINALWT177|Final replicate weight 177
FINALWT178|Final replicate weight 178
FINALWT179|Final replicate weight 179
FINALWT180|Final replicate weight 180
FINALWT181|Final replicate weight 181
FINALWT182|Final replicate weight 182
FINALWT183|Final replicate weight 183
FINALWT184|Final replicate weight 184
FINALWT185|Final replicate weight 185
FINALWT186|Final replicate weight 186
FINALWT187|Final replicate weight 187
FINALWT188|Final replicate weight 188
FINALWT189|Final replicate weight 189
FINALWT190|Final replicate weight 190
FINALWT191|Final replicate weight 191
FINALWT192|Final replicate weight 192
FINALWT193|Final replicate weight 193
FINALWT194|Final replicate weight 194
FINALWT195|Final replicate weight 195
FINALWT196|Final replicate weight 196
FINALWT197|Final replicate weight 197
HDD65|Heating degree days (base 65)
CDD65|Cooling degree days (base 65)
MFUSED|Any major fuel used
MFBTU|Annual major fuel consumption (thous Btu)
MFEXP|Annual major fuel expenditures ($)
ELCNS|Annual electricity consumption (kWh)
ELBTU|Annual electricity consumption (thous Btu)
ELEXP|Annual electricity expenditures ($)
NGCNS|Annual natural gas consumption (ccf)
NGBTU|Annual natural gas consumption (thous Btu)
NGEXP|Annual natural gas expenditures ($)
FKCNS|Annual fuel oil consumption (gallons)
FKBTU|Annual fuel oil consumption (thous Btu)
FKEXP|Annual fuel oil expenditures ($)
DHUSED|District heat (steam or hot water) used
DHHT1|District heat used for main heating
DHHT2|District heat used for secondary heating
DHCOOL|District heat used for cooling
DHCOOK|District heat used for cooking
DHWATR|District heat used for water heating
DHMANU|District heat used for manufacturing
DHOTH|District heat used for some other use
DHCNS|Annual district heat consumption (thous lbs)
DHBTU|Annual district heat consumption (thous Btu)
DHEXP|Annual district heat expenditures ($)
ZMFBTU|Imputed major fuels consumption
ZMFEXP|Imputed major fuels expenditures
ZELCNS|Imputed electricity consumption
ZELEXP|Imputed electricity expenditures
ZNGCNS|Imputed natural gas consumption
ZNGEXP|Imputed natural gas expenditures
ZFKCNS|Imputed fuel oil consumption
ZFKEXP|Imputed fuel oil expenditures
ZDHCNS|Imputed district heat consumption
ZDHEXP|Imputed district heat expenditures
MFHTBTU|Major fuel heating use (thous Btu)
MFCLBTU|Major fuel cooling use (thous Btu)
MFVNBTU|Major fuel ventilation use (thous Btu)
MFWTBTU|Major fuel water heating use (thous Btu)
MFLTBTU|Major fuel lighting use (thous Btu)
MFCKBTU|Major fuel cooking use (thous Btu)
MFRFBTU|Major fuel refrigeration use (thous Btu)
MFOFBTU|Major fuel office equipment use (thous Btu)
MFPCBTU|Major fuel computing use (thous Btu)
MFOTBTU|Major fuel miscellaneous use (thous Btu)
ELHTBTU|Electricity heating use (thous Btu)
ELCLBTU|Electricity cooling use (thous Btu)
ELVNBTU|Electricity ventilation use (thous Btu)
ELWTBTU|Electricity water heating use (thous Btu)
ELLTBTU|Electricity lighting use (thous Btu)
ELCKBTU|Electricity cooking use (thous Btu)
ELRFBTU|Electricity refrigeration use (thous Btu)
ELOFBTU|Electricity office equipment use (thous Btu)
ELPCBTU|Electricity computing use (thous Btu)
ELOTBTU|Electricity miscellaneous use (thous Btu)
NGHTBTU|Natural gas heating use (thous Btu)
NGCLBTU|Natural gas cooling use (thous Btu)
NGWTBTU|Natural gas water heating use (thous Btu)
NGCKBTU|Natural gas cooking use (thous Btu)
NGOTBTU|Natural gas miscellaneous use (thous Btu)
FKHTBTU|Fuel oil heating use (thous Btu)
FKCLBTU|Fuel oil cooling use (thous Btu)
FKWTBTU|Fuel oil water heating use (thous Btu)
FKCKBTU|Fuel oil cooking use (thous Btu)
FKOTBTU|Fuel oil miscellaneous use (thous Btu)
DHHTBTU|District heat heating use (thous Btu)
DHCLBTU|District heat cooling use (thous Btu)
DHWTBTU|District heat water heating use (thous Btu)
DHCKBTU|District heat cooking use (thous Btu)
DHOTBTU|District heat miscellaneous use (thous Btu)
PUBCLIM|Building America climate region
